FilerEIN,TaxYear,BusinessNameLine1Txt,AddressLine1Txt,AddressLine2Txt,CityNm,StateAbbreviationCd,ZIPCd,ServicesDesc,CompensationAmt,PersonNm,ProvinceOrStateNm,CountryCd,BusinessNameLine2Txt,ForeignPostalCd
582149128,2019,ROBINS & MORTIN,400 SHADES CREEK PKWY,,BIRMINGHAM,AL,35209,BUILDING CONTRACTOR,10692682,,,,,
582149128,2019,Quantum HC LLC,777 Hemlock Street,MSC 104,MACON,GA,31201,CONTRACT SVC-HOSPITALISTS,9423705,,,,,
582149128,2019,Radiology Associates,770 Pine St,Suite 290,Macon,GA,31201,CONTRACT SERVICES,2602049,,,,,
900656139,2019,WALSH BROTHERS,210 COMMERCIAL STREET,,BOSTON,MA,02109,CONSTRUCTION SERVICES,97102559,,,,,
900656139,2019,SUFFOLK CONSTRUCTION CO,99 CONIFER HILL DRIVE,,DANVERS,MA,01923,CONSTRUCTION SERVICES,35940210,,,,,
900656139,2019,AMN HEALTHCARE INC,26 CONNELL STREET,,QUINCY,MA,02169,STAFFING SERVICES,32147824,,,,,
900656139,2019,SKANSKA USA BUILDING INC,101 SEAPORT BOULEVARD SUITE 200,,BOSTON,MA,02210,CONSTRUCTION SERVICES,25265136,,,,,
900656139,2019,CB RICHARD ELLIS,65 LANDSDOWNE STREET,,CAMBRIDGE,MA,02139,FACILITIES MANAGEMENT,20648125,,,,,
951684089,2019,,10666 N Torrey Pines Rd,,La Jolla,CA,92037,Physician Services,352776615,Scripps Clinic Medical Group Inc,,,,
951684089,2019,,501 Washington Ave,,San Diego,CA,92103,Physician Services,58712946,Scripps Coastal Medical Group,,,,
951684089,2019,,10010 Campus Point Drive,,San Diego,CA,92121,Physician Services,34994872,Scripps Health Inpatient Providers,,,,
951684089,2019,,10181 Scripps Gateway Court,,San Diego,CA,92131,Pharmaceutical Svcs,28043099,MedImpact Healthcare Systems,,,,
951684089,2019,,440 Stevens Ave Ste 130,,SAN DIEGO,CA,92075,Physician Services,14238860,Emergency Acute Care Medical Group,,,,
452641647,2019,BRIGHTVIEW LANDSCAPE SERVICES,7175 21ST STREET EAST,,SARASOTA,FL,34243,LANDSCAPE MAINTENANCE,262357,,,,,
452641647,2019,FISA,AV DE RHODANIE 54,,LAUSANNE,,,FEES FOR EVENT HELD AT PARK,147458,,LAUSANNE,SZ,,1007
912153073,2019,IBM CORP,500 FIRST AVENUE,,PITTSBURGH,PA,15219,INFORMATION TECHNOLOGY SYSTEMS,23152230,,,,,
912153073,2019,SIEMENS MEDICAL SOLUTIONS INC,PO BOX 121102,,DALLAS,TX,75312,HEALTHCARE IT & ENGINEERING SOLUTIONS,23111289,,,,,
912153073,2019,CARDINAL HEALTH,PO BOX 70539,,CHICAGO,IL,60673,INTEGRATED HEALTHCARE SOLUTIONS,11795634,,,,,
912153073,2019,THE HCI GROUP,PO BOX 734305,,CHICAGO,IL,60673,HEALTHCARE IT CONSULTING & TECH SOLUTION,11790127,,,,,
912153073,2019,TOWNE PARK LLC,PO BOX 79349,,BALTIMORE,MD,21279,PARKING SERVICES,10472068,,,,,
237254290,2019,TRI LEADERSHIP RESOURCES LLC,400 CHINA GULCH ROAD,,JACKSONVILLE,OR,97530,ASSOCIATION MANAGEMENT,195450,,,,,
912117699,2019,,18470 Thompson Court Suite 1B,,TINLEY PARK,IL,60477,FOOD SUPPLY,704310,Eat Enterprises,,,,
912117699,2019,,12301 Cumberland Lane,,FISHERS,IN,46038,FOOD SUPPLY,528624,US Foodservice,,,,
912117699,2019,,122 N OCEAN DRIVE,,PORT LAVACA,TX,77979,Grant Management,358540,DAVIS ASSOCIATION SERVICES INC,,,,
912117699,2019,,219 Cypress Circle,,PHARR,TX,78577,Tutoring Kids,181260,Renryder LLC dba Slyvan Learning,,,,
912117699,2019,,5003 JOHN STOCKBAUER DR STE A,,VICTORIA,TX,77904,TUTORING KIDS,152100,MJM SOUTH TEXAS SLC INC,,,,
530116130,2019,BREWER ATTORNEYS AND COUNSELORS,1717 MAIN ST,SUITE 5900,DALLAS,TX,75201,LEGAL SERVICES,24789326,,,,,
530116130,2019,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,MEMBERSHIP PROCESSING AND CONTROL,21723870,,,,,
530116130,2019,MEMBERSHIP MARKETING PARTNERS LLC,11250 WAPLES MILL TD,SUITE 310,FAIRFAX,VA,22030,FUNDRAISING PRINTING AND MAILING,11560154,,,,,
530116130,2019,VALTIM INC,1095 VENTURE DR,,FOREST,VA,24551,FULFILLMENT CENTER,8957907,,,,,
530116130,2019,ACKERMAN MCQUEEN INC,1601 NW EXPRESSWAY,,OKLAHOMA CITY,OK,73118,PUBLIC RELATIONS AND ADVERTISING,7317206,,,,,
133539048,2019,,1101 Connecticut Ave NW 7th Fl,,WASHINGTON,DC,20036,Consulting,2890711,MR Strategic Services Inc,,,,
133539048,2019,,1133 19th St NW Ste 300,,WASHINGTON,DC,20036,Consulting & Other,2542188,O'Brien Garrett,,,,
133539048,2019,,1155 CONNECTICUT AVE NW STE 601,,WASHINGTON,DC,20036,ADVERTISING,1344997,BLUEPRINT INTERACTIVE,,,,
133539048,2019,,3050 K ST NW STE 100,,WASHINGTON,DC,20007,CONSULTING,676527,GMMB INC,,,,
133539048,2019,,PO BOX 205921,,CHARLESTON,WV,25320,COMMS SOFTWARE,394722,UPLAND SOFTWARE,,,,
951985500,2019,Mediacom Worldwide Inc,498 7th Avenue,,New York,NY,10018,Media Agency,86091767,,,,,
951985500,2019,LSC Communications Inc,191 North Wacker Drive,,Chicago,IL,60606,Digital Print Services,50766443,,,,,
951985500,2019,RR Donnelley,111 South Wacker Drive,,Chicago,IL,60606,Printing Services,39776256,,,,,
951985500,2019,GMMB Inc,3050 K Street NW Ste 100,,Washington,DC,20007,Communication Specialists,27207510,,,,,
951985500,2019,Google Inc,1600 Amphitheatre Parkway,,Mountain View,CA,94043,Technology Company,22458527,,,,,
540844477,2019,WYSSTA SERVICES INC,PO BOX 86,,STEVENS POINT,WI,54481,TPA SERVICES,4919820,,,,,
540844477,2019,BLUE 449 INC,13940 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,60693,ADVERTISING SERVICES,178889,,,,,
540844477,2019,WITTKIEFFER INC,2015 SPRING ROAD SUITE 510,,OAK BROOK,IL,605233903,RECRUITING SERVICES,168702,,,,,
540844477,2019,BLACKROCK INVESTMENT MANAGEMENT LLC,PO BOX 978604,,DALLAS,TX,753978604,INVESTMENT MANAGEMENT,155946,,,,,
540844477,2019,ABM INDUSTRY GROUPS LLC,PO BOX 74008829,,CHICAGO,IL,606748829,JANITORIAL SERVICES,120426,,,,,
571136023,2019,2020 BALLCAMP LLC,26500 AGOURA ROAD,,CALABASAS,CA,91302,PROFESSIONAL SERVICES,500000,,,,,
135562401,2020,PRAESIDIUM INVESTMENT MANAGEMENT CO,747 3rd Avenue,35th Floor,New York,NY,10017,INVESTMENT MANAGEMENT,5722111,,,,,
135562401,2020,BASSWOOD CAPITAL MANAGEMENT,645 Madison Avenue,,New York,NY,10022,INVESTMENT MANAGEMENT,4683376,,,,,
135562401,2020,ELEMENT CAPITAL MANAGEMENT LLC,600 Lexington Avenue,,New York,NY,10022,INVESTMENT MANAGEMENT,4436801,,,,,
135562401,2020,RGM CAPITAL LLC,9010 Strada Stell Court,Suite 105,Naples,FL,34109,INVESTMENT MANAGEMENT,4350314,,,,,
135562401,2020,WELLINGTON MANAGEMENT CO,280 CONGRESS STREET,,Boston,MA,02210,INVESTMENT MANAGEMENT,2324431,,,,,
521344831,2020,REI SYSTEMS INC,14325 WILLARD ROAD STE 200,,CHANTILLY,VA,20151,GRANT MANAGEMENT SYSTEM CONSULTING,1721260,,,,,
521344831,2020,GRANTBOOK INC,720 BATHURST STREET STE 420,,TORONTO,,,GRANT MANAGEMENT SYSTEM CONSULTING,354988,,ONTARIO,CA,,M5S 2R4
521344831,2020,M3COM OF VIRGINIA INC,20110 ASHBROOK PLACE STE 250,,ASHBURN,VA,20147,IT DATA CENTER BUSINESS CONTNIUITY,353086,,,,,
521344831,2020,ARNOLD & PORTER KAYE SCHOLER,601 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20001,LEGAL FEES,280331,,,,,
521344831,2020,HUNTON ANDREWS KURTH LLP,951 E BYRD STREET RIVERFRONT PLAZ,,RICHMOND,VA,23219,LEGAL FEES,143957,,,,,
110303001,2020,,245 SUMMER STREET,,BOSTON,MA,02205,ADMIN & INV MGMT SVC,94105367,FMR LLC,,,,
110303001,2020,,350 SOUTH GRAND AVENUE,,LOS ANGELES,CA,90071,LEGAL SERVICES,7675739,WILMERHALE,,,,
110303001,2020,,1000 HARBOR BOULEVARD,,WEEHAWKEN,NJ,07086,INVEST. MANAGEMENT,5934755,UBS FINANCIAL SERVICES,,,,
110303001,2020,,100 1ST STREET SUITE 360,,SAN FRANCISCO,CA,94105,INVEST. MANAGEMENT,4142348,JORDAN PARK,,,,
110303001,2020,,394 PACIFIC AVENUE,,SAN FRANCISCO,CA,94111,INVEST. MANAGEMENT,3618965,ICONIQ CAPITAL,,,,
364724966,2020,SKENDER CONSTRUCTION,200 W MADISON SUITE 1300,,CHICAGO,IL,60606,CONSTRUCTION,37232551,,,,,
364724966,2020,QUEST DIAGNOSTICS,4126 N Milwaukee Ave,,CHICAGO,IL,60641,LABORATORY SERVICES,24705454,,,,,
364724966,2020,NTHRIVE REVENUE SYSTEMS LLC,100 North Point Center,East Suite 200,Alpharetta,GA,30009,REVENUE CYCLE MANAGEMENT COMPANY,23097795,,,,,
364724966,2020,LO DESTRO CONSTRUCTION COMPANY,211 E Ontario St 500,,CHICAGO,IL,60604,CONSTRUCTION SERVICES,20937576,,,,,
364724966,2020,CB RICHARD ELLIS INC,205 W WACKER DRIVE,,CHICAGO,IL,60606,PROPERTY MANAGEMENT,19924848,,,,,
453358926,2020,ERNST & YOUNG LLP,1201 MAIN STREET,SUITE 2000,DALLAS,TX,75202,AUDITING SERVICES,9355475,,,,,
453358926,2020,CROWE LLP,PO BOX 7,,SOUTH BEND,IN,466240007,COMPLIANCE SERVICES,2895803,,,,,
453358926,2020,CROWE HEALTHCARE RISK CONSULTING LLC,231 S BEMISTON AVENUE,SUITE 300,ST LOUIS,MO,631051914,CONSULTING SERVICES,2176372,,,,,
453358926,2020,DELOITTE AND TOUCHE LLP,4022 SELLS DRIVE,,HERMITAGE,TN,370762903,CONSULTING SERVICES,2045000,,,,,
453358926,2020,ACCENTURE LLP,1255 TREAT BLVD,STE 250,WALNUT CREEK,CA,94597,CONSULTING & IMPLEMENTATION,1420719,,,,,
314379427,2020,CENTERRA GROUP LLC,7121 FARIWAY DR,,PALM BEACH GARDENS,FL,33418,PROFESSIONAL SERVICES,46844154,,,,,
314379427,2020,MERRICK SMSI JOINT VENTURE LLP,600 6TH ST,,LOS ALAMOS,NM,87544,PROFESSIONAL SERVICES,37293165,,,,,
314379427,2020,GE-HITACHI NUCLEAR ENERGY AMERICAS LLC,3901 CASTLE HAYNE RD,,WILMINGTON,NC,28402,TECHNICAL SERVICES,26193831,,,,,
314379427,2020,EW HOWELL CO LLC,245 NEWTOWN RD,,PLAINVIEW,NY,11803,CONSTRUCTION SERVICES,23188923,,,,,
314379427,2020,ESTECH LLC,1200 N MAIN ST,,MERIDIAN,ID,83680,PROFESSIONAL SERVICES,23147180,,,,,
900656139,2020,WALSH BROTHERS,210 COMMERCIAL STREET,,BOSTON,MA,02109,CONSTRUCTION SERVICES,71843683,,,,,
900656139,2020,AMN HEALTHCARE INC,PO BOX 281939,,ATLANTA,GA,303841939,STAFFING SERVICES,68450826,,,,,
900656139,2020,SKANSKA USA BUILDING INC,101 SEAPORT BOULEVARD SUITE 200,,BOSTON,MA,02210,CONSTRUCTION SERVICES,30554515,,,,,
900656139,2020,NBBJ LP,8 STORY STREET,,CAMBRIDGE,MA,021384969,ARCHITECTURAL SERVICES,22808648,,,,,
900656139,2020,CB RICHARD ELLIS,65 LANDSDOWNE STREET,,CAMBRIDGE,MA,021394232,FACILITIES MANAGEMENT,22633640,,,,,
210650678,2020,ELLUCIAN COMPANY LP,62590 COLLECTION CENTER DRIVE,,CHICAGO,LA,60693,INFORMATION TECHNOLOGY,1466544,,,,,
210650678,2020,ONE SIXTY OVER NINETY LLC,510 WALNUT STREET FLOOR 19,,PHILADELPHIA,PA,19106,MARKETING,1102747,,,,,
210650678,2020,PATRICK J MURPHY & ASSOCIATES,300 OLD READING PIKE SUITE 1D,,STOWE,PA,19464,PIPE ORGAN REPAIR,484560,,,,,
210650678,2020,RESOURCE MANAGEMENT GROUP,PO BOX 373,,LUMBERTON,NJ,08048,COVID-19 RELATED SERVICES,414498,,,,,
210650678,2020,FISCHER INTERNATIONAL IDENTITY LLC,9045 STRADA STELL COURT SUITE 201,,NAPLES,FL,34109,HRIS LICENSE,200200,,,,,
421435199,2020,CHANGE HEALTHCARE,3055 LEBANON PIKE STE 1000,,NASHVILLE,TN,37214,MANAGEMENT SERVICES,3375186,,,,,
421435199,2020,CROWE LLP,320 E JEFFERSON BLVD,,SOUTH BEND,IN,46624,CONSULTING SERVICES,1618777,,,,,
421435199,2020,DELOITTE CONSULTING LLP,1700 MARKET ST,,PHILADELPHIA,PA,19103,CONSULTING SERVICES,1376697,,,,,
421435199,2020,KPMG LLP,3 CHESTNUT RIDGE RD,,MONTVALE,NJ,07645,AUDIT SERVICES,1099345,,,,,
421435199,2020,H&R ACCOUNTS INC,5320 22ND AVE,,MOLINE,IL,61265,COLLECTION SERVICES,1068631,,,,,
912153073,2020,THE HCI GROUP,PO BOX 734305,,CHICAGO,IL,60673,HEALTHCARE IT CONSULTING & TECH SOLUTION,27480401,,,,,
912153073,2020,IBM CORP,500 FIRST AVENUE,,PITTSBURGH,PA,15219,INFORMATION TECHNOLOGY SYSTEMS,25766623,,,,,
912153073,2020,SIEMENS MEDICAL SOLUTIONS INC,PO BOX 121102,,DALLAS,TX,75312,HEALTHCARE IT & ENGINEERING SOLUTIONS,18849500,,,,,
912153073,2020,CARDINAL HEALTH,PO BOX 70539,,CHICAGO,IL,60673,INTEGRATED HEALTHCARE SOLUTIONS,13517557,,,,,
912153073,2020,ALLIED UNIVERSAL SECURITY,PO BOX 828854,,PHILADELPHIA,PA,19182,SECURITY SERVICES,12406389,,,,,
340714585,2020,THE HCI GROUP,PO BOX 734305,,CHICAGO,IL,60673,HEALTHCARE IT CONSULTING & TECH SOLUTION,27480401,,,,,
340714585,2020,IBM CORP,500 FIRST AVENUE,,PITTSBURGH,PA,15219,INFORMATION TECHNOLOGY SYSTEMS SERVICES,25446300,,,,,
340714585,2020,SIEMENS MEDICAL SOLUTIONS INC,PO BOX 121102,,DALLAS,TX,75312,HEALTHCARE IT & ENGINEERING SERVICES,18849500,,,,,
340714585,2020,TOWNE PARK LLC,PO BOX 79349,,BALTIMORE,MD,21279,PARKING SERVICES,11499606,,,,,
340714585,2020,CARDINAL HEALTH,PO BOX 70539,,CHICAGO,IL,60673,INTEGRATED HEALTHCARE SOLUTIONS,11194019,,,,,
912117699,2020,,985 3rd Street,,OAKLAND,CA,94607,FOOD SUPPLY,974435,Revolution Foods,,,,
912117699,2020,,12301 Cumberland Lane,,FISHERS,IN,46038,FOOD SUPPLY,435750,US Foodservice,,,,
912117699,2020,,122 N OCEAN DRIVE,,PORT LAVACA,TX,77979,Grant Management,326806,DAVIS ASSOCIATION SERVICES INC,,,,
912117699,2020,,18470 Thompson Court Suite 1B,,TINLEY PARK,IL,60477,Food Supply,281449,Eat Enterprises,,,,
912117699,2020,,219 Cypress Circle,,PHARR,TX,78577,TUTORING KIDS,156744,Renryder LLC dba Sylvan Learning,,,,
980368454,2020,,,,,,,Contractor,177097,Wanji Nganga,,,,
980368454,2020,,,,,,,Contractor,113113,Maurice Othulo,,,,
980368454,2020,,,,,,,Contractor,121303,Daniel Tomlinson,,,,
980368454,2020,,,,,,,Contractor,163352,Tara Collier,,,,
522028955,2020,JOI O CHANEY,4501 CONNECTICUT AVENUE NW 519,,WASHINGTON,DC,20008,CONSULTING SERVICES,255200,,,,,
522028955,2020,WEST END STRATEGY TEAM,2401 PENNSYLVANIA AVE NW SUITE 41,,WASHINGTON,DC,20037,CONSULTING SERVICES,237857,,,,,
522028955,2020,GOODWIN SIMON STRATEGIC RESEARCH INC,1624 FRANKLIN ST SUITE 1001,,OAKLAND,CA,94612,CONSULTING SERVICES,155825,,,,,
522028955,2020,THE RABEN GROUP LLC,1341 G STREET NW FLR 5,,WASHINGTON,DC,20005,CONSULTING SERVICES,144000,,,,,
522028955,2020,NP CONSULTING INC,1100 G STREET NW SUITE 750,,WASHINGTON,DC,20005,CONSULTING SERVICES,135000,,,,,
941153307,2020,MARKETEAM LLC,1200 ABERNATHY RD NE,,ATLANTA,GA,30328,MARKETING,1942376,,,,,
941153307,2020,FACEBOOK INC,15161 COLLECTIONS CENTER DR,,CHICAGO,IL,60693,MARKETING/ADVERTISING,1257659,,,,,
941153307,2020,HUSTLE INC,DEPT LA 24862,,PASADENA,CA,911854862,MOBILE OUTREACH,1125375,,,,,
941153307,2020,PALM COAST DATA LLC,PO BOX 1000 DEPT 996,,MEMPHIS,TN,381480996,DONATION PROCESSING,1032662,,,,,
941153307,2020,SYNAPSE ENERGY ECONOMICS INC,485 MASSACHUSETTS AVE STE 2,,CAMBRIDGE,MA,02139,ECONOMIC TECHNICAL EXPERT,788997,,,,,
951985500,2020,Mediacom Worldwide Inc,498 7th Avenue,,New York,NY,10018,Media Agency,77757051,,,,,
951985500,2020,RR Donnelley,111 South Wacker Drive,,Chicago,IL,60606,Printing Services,49461409,,,,,
951985500,2020,LSC Communications Inc,191 North Wacker Drive,,Chicago,IL,60606,Digital Print Services,49415954,,,,,
951985500,2020,GMMB Inc,3050 K Street NW Ste 100,,Washington,DC,20007,Communication Specialists,27576400,,,,,
951985500,2020,Facebook Inc,1 Hacker Way,,Menlo Park,CA,94025,Technology Company,25722634,,,,,
530116130,2020,BREWER ATTORNEYS AND COUNSELORS,1717 MAIN ST,SUITE 5900,DALLAS,TX,75201,LEGAL SERVICES,31953976,,,,,
530116130,2020,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,MEMBERSHIP PROCESSING AND CONTROL,15858529,,,,,
530116130,2020,MEMBERSHIP MARKETING PARTNERS LLC,11250 WAPLES MILL TD,SUITE 310,FAIRFAX,VA,22030,FUNDRAISING PRINTING AND MAILING,11577847,,,,,
530116130,2020,GOULD PAPER CORPORATION,99 PARK AVE,,NEW YORK,NY,10016,PAPER FOR MAGAZINES,6056184,,,,,
530116130,2020,QUAD GRAPHICS,N63W23075 HWY 74,,SUSSEX,WI,53089,MAGAZINE PRODUCTION AND PRINTING FOR PUBLICATIONS; CATALOG PRODUCTION AND PRINTING FOR THE NRA STORE,5252902,,,,,
264683543,2020,Lets Register to Vote LLC,60646 Teton Ct,,Bend,OR,97702,Canvassing,201840,,,,,
264683543,2020,DC London Inc,2198 E Camelback Rd Ste 325,,Phoenix,AZ,85016,Program consulting,196500,,,,,
264683543,2020,Awareness Analytics Partne,4521 Park Road,,Alexandria,VA,22312,Digital ad campaign,429000,,,,,
941461312,2020,ELEVATED RESOURCES INC,3990 WESTERLY PL STE 270,,NEWPORT BEACH,CA,92660,CONSULTING SERVICES,22750981,,,,,
941461312,2020,CATALYST360 LLC,11000 OPTUM CIRCLE,,EDEN PRAIRIE,MN,55344,CONSULTING SERVICES,8256946,,,,,
941461312,2020,EMC CORPORATION,4246 COLLECTIONS CENTER DR,,CHICAGO,IL,60693,CONSULTING SERVICES,6409671,,,,,
941461312,2020,KP LLC,PO BOX 8311,,PASADENA,CA,91109,MAIL SERVICES,5787893,,,,,
941461312,2020,WEST MONROE PARTNERS LLC,222 WEST ADAMS STREET 11TH FLR,,CHICAGO,IL,60606,CONSULTING SERVICES,3959798,,,,,
208802884,2020,BULLY PULPIT INTERACTIVE LLC,1445 NEW YORK AVENUE NW 5TH FLOOR,,WASHINGTON,DC,20005,ADVERTISING,4872721,,,,,
208802884,2020,GELLER ADVISORS LLC,PO BOX 1510,,NEW YORK,NY,10150,FINANCIAL AND ADVISORY SERVICES,4279340,,,,,
